,commutepublic_1,equipten,tollten,card2type_3,tenure,bfast_2,card2benefit_3,reason_2,card2_2,cars_1,creddebt,polcontrib_1,pets_small,longmon,ownpda_1,age,townsize_3.0,spousedcat_5,card_3,ownvcr_1,card2_5,commute_2,debtinc,tollmon,card2type_2,vote_1,forward_1,card2benefit_2,ownipod_1,reason_9,inccat_5,carcatvalue_1,spousedcat_4,commuterail_1,employ,card2_3,townsize_4.0,polparty_1,card_2,spousedcat_1,telecommute_1,agecat_6,response_01_1,response_02_1,owncd_1,carown_0,card2fee_1,ownpc_1,cars_7,agecat_3,longten,spousedcat_2,commutemotorcycle_1,spousedcat_3,wireten,carvalue,cardtype_4,card2tenure,carown_1,equipmon,hourstv,cardfee_1,cars_4,income,cars_6,cars_5,cars_2,agecat_5,townsize_2.0,jobsat_4,townsize_5.0,pets_saltfish,cardtenure,region_3,cardten,voice_1,retire_1,othdebt,churn_1,card2benefit_4,ed,card2_4,owngame_1,cardmon,polview_6,reason_4,commute_4,confer_1,pets,edcat_5,carcatvalue_3,pets_freshfish,commutebus_1,commute_3,cardtype_3,spoused,response_03_1,region_4,address,commute_10,commute_8,commutetime,card_5,union_1,card_4,owntv_1,edcat_4,reside,tollfree_1,wiremon,commute_9
0,0,126.1,161.05,1,5,0,0,0,0,0,1.2009089999999998,0,0,6.5,0,20,0,0,1,1,1,0,11.1,29.0,0,1,1,0,1,1,0,1,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,34.4,0,1,0,0.0,14.3,0,3,1,29.5,13,0,0,31.0,0,0,1,0,1,0,0,0,2,0,60.0,1,0,2.240091,1,0,15,0,1,14.25,1,0,0,1,0.0,0,0,0,0,0,0,-1,0,0,0.0,0,1,22.0,0,1,0,1,0,3,1,0.0,0
1,0,1275.40625,0.0,0,39,0,1,0,0,0,1.2220199999999999,0,0,8.9,1,22,0,0,0,1,0,0,18.6,0.0,0,0,1,0,1,1,0,1,0,0,0.0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,330.6,0,0,0,224.90625,6.800000000000001,1,4,1,54.85,18,0,0,15.0,0,0,1,0,0,0,1,0,4,0,610.0,1,0,1.5679800000000002,0,0,17,1,1,16.0,0,0,0,0,6.0,0,0,6,1,0,0,-1,0,0,2.0,0,0,29.0,0,0,0,1,1,2,0,45.65,0
2,0,0.0,0.0,0,65,0,1,1,0,0,0.9286200000000001,0,0,28.4,0,67,0,0,0,1,0,0,9.9,0.0,0,0,0,0,0,0,0,1,0,1,16.0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1858.35,1,0,0,0.0,18.8,0,25,1,0.0,21,0,0,35.0,0,0,0,0,0,1,0,0,35,1,1410.0,0,0,2.5363800000000003,0,0,14,1,0,23.0,0,0,1,0,3.0,0,0,0,1,0,0,13,0,0,30.0,0,0,24.0,0,0,0,1,0,3,0,0.0,0
3,0,0.0,0.0,0,36,0,0,0,0,0,0.0228,0,0,6.0,0,23,1,0,0,1,0,0,5.7,0.0,1,0,0,0,1,1,0,1,1,0,0.0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,199.45,0,0,0,0.0,8.700000000000001,0,5,1,0.0,26,0,0,20.0,0,0,0,0,0,0,0,0,5,0,685.0,0,0,1.1172000000000002,0,1,16,0,1,21.0,0,0,0,0,0.0,0,0,0,0,0,0,18,0,1,3.0,0,0,38.0,0,0,0,1,0,5,0,0.0,0
4,1,0.0,387.7,1,21,0,0,0,0,1,0.21465900000000002,0,0,3.05,0,26,0,0,0,1,0,0,1.7000000000000002,16.5,0,0,1,1,0,1,0,1,0,0,1.0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,74.1,1,0,0,224.90625,10.600000000000001,0,9,0,0.0,27,0,0,23.0,0,0,0,0,1,0,0,0,8,0,360.0,1,0,0.176341,0,0,16,0,1,17.25,0,0,0,1,0.0,0,0,0,0,0,0,13,0,0,3.0,0,0,32.0,0,0,1,1,0,4,1,19.05,0
5,0,970.95,726.6,1,28,0,0,0,0,0,1.060584,0,0,8.1,1,64,0,0,0,1,0,0,5.6000000000000005,26.75,0,0,1,1,0,1,0,0,0,1,22.0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,264.9,0,0,0,0.0,-1.0,1,9,0,35.5,21,1,0,107.0,0,0,0,1,0,0,0,0,18,0,765.0,0,0,4.9314160000000005,0,0,17,0,0,28.25,0,0,0,1,11.0,0,0,7,0,0,0,-1,0,1,31.0,0,1,23.0,0,0,0,1,1,1,1,0.0,0
6,0,0.0,0.0,1,15,1,0,0,1,0,0.501809,0,0,3.8,0,52,0,0,0,1,0,0,1.9,0.0,0,0,1,0,1,1,0,0,0,0,10.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,44.8,0,0,0,0.0,25.6,0,2,1,0.0,19,1,0,77.0,0,0,1,1,0,0,1,0,3,0,0.0,0,0,0.9611909999999999,0,1,14,0,0,0.0,0,0,1,0,2.0,0,0,0,1,0,1,-1,0,0,21.0,0,0,32.0,1,0,0,1,0,1,0,0.0,0
7,0,0.0,1110.4,0,46,0,0,1,0,1,4.58127075,0,0,14.85,0,44,0,0,0,1,0,0,14.399999999999999,24.0,0,1,1,0,0,0,0,0,0,1,11.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,612.7,0,0,1,0.0,55.5,0,20,1,0.0,13,0,0,97.0,0,0,0,0,0,0,0,0,25,1,630.0,0,0,8.017631999999999,0,1,16,0,0,14.5,1,0,0,1,10.0,0,1,8,0,0,0,15,0,0,20.0,0,0,31.0,0,0,0,1,0,2,1,0.0,0
8,0,0.0,0.0,0,53,0,1,0,1,1,0.102336,1,0,21.05,0,66,1,0,1,1,0,0,2.6,0.0,0,1,0,0,0,1,0,1,0,1,15.0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1074.35,0,1,0,0.0,8.6,1,17,1,0.0,25,0,0,16.0,0,0,0,0,0,0,0,0,26,0,830.0,0,1,0.313664,0,0,12,0,0,15.5,0,0,1,0,1.0,0,0,0,1,0,0,-1,0,0,21.0,0,0,25.0,0,0,0,1,0,1,0,0.0,0
9,0,0.0,0.0,0,3,0,0,0,1,0,1.7702159999999998,1,0,3.65,0,47,0,0,0,1,0,0,4.1000000000000005,0.0,1,1,0,0,0,1,0,0,0,0,19.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,20.05,0,1,0,0.0,41.0,1,2,1,0.0,21,0,1,84.0,0,0,0,0,1,1,0,0,2,0,0.0,0,0,1.6737840000000002,1,0,11,0,0,0.0,0,0,0,0,1.0,0,1,0,0,0,0,-1,0,0,19.0,0,0,29.0,1,0,0,1,0,2,0,0.0,0
10,0,1275.40625,0.0,0,50,0,0,0,0,0,1.3581119999999998,0,0,8.55,0,59,0,0,0,1,0,0,8.6,0.0,0,1,0,0,1,1,0,0,0,0,8.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,446.55,0,0,0,0.0,28.0,0,17,1,31.2,26,0,0,47.0,0,0,0,1,0,0,0,0,16,0,930.0,0,0,2.683888,1,1,19,0,0,19.0,0,0,0,0,7.0,0,0,4,1,0,1,-1,0,1,14.0,0,0,17.0,0,0,1,1,1,1,0,0.0,0
